iter	Passed	Remaining
0	146	146782
1	147	73836
2	149	49680
3	150	37568
4	152	30399
5	153	25508
6	155	22018
7	156	19392
8	157	17342
9	158	15711
10	159	14357
11	160	13244
12	161	12294
13	163	11500
14	166	10907
15	167	10306
16	168	9752
17	169	9255
18	170	8818
19	171	8421
20	172	8064
21	174	7736
22	175	7439
23	177	7203
24	178	6980
25	181	6785
26	183	6608
27	185	6424
28	186	6236
29	187	6070
30	188	5901
31	189	5742
32	191	5603
33	193	5501
34	196	5409
35	197	5293
36	199	5183
37	200	5075
38	201	4970
39	202	4867
40	203	4768
41	205	4688
42	206	4604
43	209	4549
44	211	4485
45	212	4413
46	213	4335
47	214	4261
48	215	4191
49	217	4123
50	218	4061
51	219	4005
52	222	3972
53	224	3927
54	225	3871
55	226	3815
56	227	3762
57	228	3711
58	229	3661
59	230	3612
60	231	3569
61	233	3527
62	234	3492
63	236	3454
64	237	3414
65	238	3374
66	239	3334
67	240	3296
68	241	3259
69	242	3223
70	243	3189
71	244	3156
72	246	3123
73	247	3098
74	248	3070
75	250	3041
76	251	3012
77	252	2982
78	253	2954
79	254	2926
80	255	2898
81	256	2871
82	257	2840
83	258	2815
84	259	2790
85	260	2766
86	261	2747
87	262	2725
88	264	2705
89	265	2683
90	266	2662
91	267	2641
92	268	2620
93	269	2600
94	270	2581
95	272	2561
96	273	2541
97	274	2522
98	275	2503
99	276	2487
100	277	2473
101	279	2456
102	280	2440
103	281	2423
104	282	2406
105	283	2391
106	284	2375
107	285	2360
108	286	2345
109	288	2330
110	289	2315
111	290	2301
112	291	2291
113	293	2278
114	294	2265
115	295	2252
116	296	2236
117	297	2224
118	298	2211
119	299	2198
120	300	2186
121	301	2171
122	302	2159
123	303	2147
124	305	2137
125	306	2128
126	307	2116
127	308	2105
128	310	2094
129	311	2082
130	312	2071
131	313	2060
132	314	2049
133	315	2039
134	316	2029
135	317	2019
136	318	2008
137	320	1999
138	321	1991
139	322	1982
140	323	1972
141	324	1960
142	325	1951
143	326	1942
144	327	1932
145	328	1923
146	329	1914
147	331	1905
148	332	1897
149	333	1889
150	334	1881
151	336	1876
152	337	1869
153	338	1860
154	339	1852
155	341	1844
156	342	1836
157	343	1829
158	344	1820
159	345	1813
160	346	1803
161	347	1796
162	348	1788
163	349	1781
164	351	1777
165	352	1770
166	353	1763
167	354	1756
168	355	1749
169	356	1742
170	358	1736
171	359	1729
172	360	1723
173	361	1716
174	362	1710
175	363	1703
176	365	1698
177	366	1692
178	367	1686
179	368	1680
180	369	1673
181	371	1667
182	372	1661
183	373	1655
184	374	1649
185	375	1643
186	376	1637
187	377	1632
188	379	1626
189	380	1622
190	381	1617
191	383	1612
192	384	1606
193	385	1601
194	386	1595
195	387	1590
196	388	1584
197	389	1579
198	391	1574
199	392	1568
200	393	1563
201	394	1559
202	395	1554
203	397	1549
204	398	1543
205	399	1538
206	400	1533
207	401	1528
208	402	1523
209	403	1517
210	404	1512
211	405	1507
212	406	1502
213	407	1497
214	409	1493
215	410	1490
216	412	1486
217	413	1481
218	414	1477
219	415	1472
220	416	1467
221	417	1462
222	418	1458
223	419	1453
224	420	1449
225	421	1444
226	423	1440
227	424	1437
228	426	1434
229	427	1430
230	428	1426
231	429	1422
232	430	1417
233	431	1413
234	432	1409
235	433	1404
236	434	1400
237	436	1396
238	437	1392
239	438	1387
240	439	1385
241	440	1381
242	442	1377
243	443	1373
244	444	1369
245	445	1365
246	446	1361
247	447	1357
248	448	1353
249	449	1349
250	450	1345
251	451	1341
252	452	1337
253	454	1335
254	456	1333
255	457	1329
256	458	1325
257	459	1322
258	460	1318
